trantype,tsym,order_type,qty,fillshares,flqty,flprc,avgprc,exch_tm,remarks,exchordid
S,NIFTY08MAY25P24200,PE,75,75,75,179.22,179.22,20-04-2025 09:15:07,ENTRY,1100000000118300
B,NIFTY08MAY25P23800,PE,75,75,75,93.62,93.62,20-04-2025 09:15:07,ENTRY,1000000000150800
B,NIFTY08MAY25P24200,PE,75,75,75,5.20,5.20,08-05-2025 09:15:07,PROFIT_BOOK,1100000000118375
S,NIFTY08MAY25P23800,PE,75,75,75,2.25,2.25,08-05-2025 09:15:07,PROFIT_BOOK,1000000000150845
S,NIFTY29MAY25C24800,CE,300,300,75,117.00,117.07,09-05-2025 10:27:25,STEMA,1600000061508362
S,NIFTY29MAY25C24800,CE,300,225,75,117.05,117.10,09-05-2025 10:27:25,STEMA,1600000061508362
S,NIFTY29MAY25C24800,CE,300,150,75,117.10,117.12,09-05-2025 10:27:25,STEMA,1600000061508362
S,NIFTY29MAY25C24800,CE,300,75,75,117.15,117.15,09-05-2025 10:27:25,STEMA,1600000061508362
B,NIFTY29MAY25C25300,CE,300,300,150,34.85,34.85,09-05-2025 10:27:23,STEMA,1200000056616832
B,NIFTY29MAY25C25300,CE,300,150,150,34.85,34.85,09-05-2025 10:27:23,STEMA,1200000056616832
S,NIFTY29MAY25C25300,CE,300,300,75,49.20,49.95,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,225,75,50.00,50.20,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,150,75,50.25,50.30,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,75,75,50.35,50.35,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
B,NIFTY29MAY25C24800,CE,300,300,75,179.20,179.20,12-05-2025 09:15:30,STOP_LOSS,1600000000493548
B,NIFTY29MAY25C24800,CE,300,225,225,179.20,179.20,12-05-2025 09:15:30,STOP_LOSS,1600000000493548
S,NIFTY29MAY25P24200,PE,375,375,150,143.20,143.20,12-05-2025 12:11:15,STEMA,1100000086647005
S,NIFTY29MAY25P24200,PE,375,225,225,143.20,143.20,12-05-2025 12:11:15,STEMA,1100000086647005
B,NIFTY29MAY25P23900,PE,375,375,225,99.40,99.38,12-05-2025 12:11:13,STEMA,1200000090933739
B,NIFTY29MAY25P23900,PE,375,150,75,99.35,99.35,12-05-2025 12:11:13,STEMA,1200000090933739
B,NIFTY29MAY25P23900,PE,375,75,75,99.35,99.35,12-05-2025 12:11:13,STEMA,1200000090933739
S,NIFTY29MAY25C25300,CE,300,300,75,49.20,49.95,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,225,75,50.00,50.20,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,150,75,50.25,50.30,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
S,NIFTY29MAY25C25300,CE,300,75,75,50.35,50.35,12-05-2025 09:15:32,STOP_LOSS,1200000000490532
B,NIFTY29MAY25C24800,CE,300,300,75,179.20,179.20,12-05-2025 09:15:30,STOP_LOSS,1600000000493548
B,NIFTY29MAY25C24800,CE,300,225,225,179.20,179.20,12-05-2025 09:15:30,STOP_LOSS,1600000000493548
